iter	Logloss
0	0.6912416536
1	0.6891162012
2	0.68730152
3	0.6854865059
4	0.6842034763
5	0.6825905332
6	0.6811458969
7	0.6804129931
8	0.6792812558
9	0.6785383348
10	0.6773509589
11	0.676535781
12	0.6755095412
13	0.6748477141
14	0.6741431409
15	0.673525247
16	0.6726969403
17	0.6719681631
18	0.6714308432
19	0.6708479936
20	0.6704180697
21	0.6699569112
22	0.6693893748
23	0.6688438104
24	0.6683097696
25	0.6677586595
26	0.6674134073
27	0.6669423329
28	0.6666449705
29	0.6663157424
30	0.6658666824
31	0.6655962028
32	0.6650719668
33	0.6649196422
34	0.6645630872
35	0.664196061
36	0.6638291546
37	0.6635833528
38	0.6633997672
39	0.6631787828
40	0.6628855641
41	0.662587915
42	0.6623741046
43	0.6621534212
44	0.6619181686
45	0.6617583021
46	0.6615185371
47	0.6611971008
48	0.6610269352
49	0.6607538381
50	0.6604471196
51	0.6601886183
52	0.6600372964
53	0.6595162833
54	0.6592670898
55	0.6590701432
56	0.6588949174
57	0.6586286731
58	0.6583738075
59	0.6582151393
60	0.6580267088
61	0.6578709004
62	0.6576307253
63	0.6575043616
64	0.6572913295
65	0.6570816692
66	0.656938371
67	0.6567219173
68	0.6565287144
69	0.656388423
70	0.6562268771
71	0.655912265
72	0.6557035233
73	0.6556107996
74	0.6554072278
75	0.6553005814
76	0.6551340298
77	0.6549262611
78	0.6547928332
79	0.6546103452
80	0.6544980762
81	0.6543730415
82	0.6542219797
83	0.6540962767
84	0.6539597405
85	0.6537366694
86	0.6535564333
87	0.6532542676
88	0.6531633638
89	0.6529898515
90	0.6528310882
91	0.6525950591
92	0.6523932585
93	0.6522414933
94	0.652150708
95	0.6520012854
96	0.651824916
97	0.6516770557
98	0.6515382491
99	0.6513712525
