iter	Passed	Remaining
0	6	609
1	12	608
2	17	574
3	23	571
4	29	567
5	36	566
6	42	563
7	48	556
8	54	549
9	60	544
10	66	535
11	72	530
12	78	526
13	84	518
14	90	514
15	97	510
16	102	502
17	114	523
18	131	561
19	149	599
20	159	601
21	166	590
22	174	582
23	182	577
24	191	573
25	198	566
26	207	560
27	215	553
28	223	548
29	231	540
30	239	533
31	247	525
32	256	519
33	263	512
34	272	505
35	279	496
36	285	485
37	292	477
38	299	467
39	306	460
40	314	452
41	322	445
42	329	436
43	336	428
44	343	420
45	351	412
46	358	404
47	365	396
48	373	388
49	381	381
50	390	374
51	400	369
52	408	362
53	417	355
54	429	351
55	439	345
56	448	338
57	459	332
58	470	326
59	478	319
60	486	311
61	494	303
62	504	296
63	512	288
64	520	280
65	527	271
66	536	264
67	544	256
68	552	248
69	560	240
70	569	232
71	577	224
72	587	217
73	594	208
74	602	200
75	610	192
76	617	184
77	623	175
78	630	167
79	637	159
80	643	150
81	652	143
82	658	134
83	666	126
84	673	118
85	680	110
86	687	102
87	692	94
88	700	86
89	707	78
90	715	70
91	722	62
92	730	54
93	737	47
94	745	39
95	752	31
96	759	23
97	767	15
98	774	7
99	780	0
